,VIN,Address,Date,Lat,Long,t2,VIN1,Address1,Date1,Lat1,Long1,t21
1,BNYB048,"157 Garden Ave, Toronto, ON M6R 1H8",1970-01-01 00:00:00.000043023,43.64399,-79.44644,1970-01-01 00:00:00.000043023,BNYB048,"80-82 Roncesvalles Ave, Toronto, ON M6R 2K7",1970-01-01 00:00:00.000043023,43.64159,-79.44733000000001,1970-01-01 00:00:00.000043023
2,BNYB048,"80-82 Roncesvalles Ave, Toronto, ON M6R 2K7",1970-01-01 00:00:00.000043023,43.64159,-79.44733000000001,1970-01-01 00:00:00.000043023,BNYB048,"912 Eglinton Ave W, Toronto, ON M6C 2C2",1970-01-01 00:00:00.000043023,43.70073,-79.42786,1970-01-01 00:00:00.000043023
4,BNYB050,"1909 Danforth Ave, Toronto, ON M4C 1J4",1970-01-01 00:00:00.000043023,43.68489,-79.31641,1970-01-01 00:00:00.000043023,BNYB050,"7 Oxley St, Toronto, ON M5V",1970-01-01 00:00:00.000043023,43.64633,-79.39455,1970-01-01 00:00:00.000043023
5,BNYB050,"7 Oxley St, Toronto, ON M5V",1970-01-01 00:00:00.000043023,43.64633,-79.39455,1970-01-01 00:00:00.000043023,BNYB050,"70-80 Gowan Ave, East York, ON M4K 2E4",1970-01-01 00:00:00.000043023,43.68784,-79.3518,1970-01-01 00:00:00.000043023
6,BNYB050,"70-80 Gowan Ave, East York, ON M4K 2E4",1970-01-01 00:00:00.000043023,43.68784,-79.3518,1970-01-01 00:00:00.000043023,BNYB050,Green P-800 Fleet St(No Double Parking),1970-01-01 00:00:00.000043023,43.63691,-79.40972,1970-01-01 00:00:00.000043023
7,BNYB050,Green P-800 Fleet St(No Double Parking),1970-01-01 00:00:00.000043023,43.63691,-79.40972,1970-01-01 00:00:00.000043023,BNYB050,The Garrison-169 Fort York BLVD (1 car/space only),1970-01-01 00:00:00.000043023,43.63779,-79.40155,1970-01-01 00:00:00.000043023
8,BNYB050,The Garrison-169 Fort York BLVD (1 car/space only),1970-01-01 00:00:00.000043023,43.63779,-79.40155,1970-01-01 00:00:00.000043023,BNYB050,UofT-42 Harbord St-car2go park signs (enter alley),1970-01-01 00:00:00.000043023,43.66373,-79.40103,1970-01-01 00:00:00.000043023
10,BNYB053,"11 Brandon Ave, Toronto, ON M6H 2C8",1970-01-01 00:00:00.000043023,43.67008,-79.4412,1970-01-01 00:00:00.000043023,BNYB053,"13 Spruce St, Toronto, ON M5A 2H6",1970-01-01 00:00:00.000043023,43.663309999999996,-79.36686,1970-01-01 00:00:00.000043023
11,BNYB053,"13 Spruce St, Toronto, ON M5A 2H6",1970-01-01 00:00:00.000043023,43.663309999999996,-79.36686,1970-01-01 00:00:00.000043023,BNYB053,"272 Robert St, Toronto, ON M5S 2K8",1970-01-01 00:00:00.000043023,43.66487,-79.40473,1970-01-01 00:00:00.000043023
12,BNYB053,"272 Robert St, Toronto, ON M5S 2K8",1970-01-01 00:00:00.000043023,43.66487,-79.40473,1970-01-01 00:00:00.000043023,BNYB053,"277 Lappin Ave, Toronto, ON M6H 1Y9",1970-01-01 00:00:00.000043023,43.66482,-79.44655,1970-01-01 00:00:00.000043023
13,BNYB053,"277 Lappin Ave, Toronto, ON M6H 1Y9",1970-01-01 00:00:00.000043023,43.66482,-79.44655,1970-01-01 00:00:00.000043023,BNYB053,"357 Rusholme Rd, Toronto, ON M6H 2Z4",1970-01-01 00:00:00.000043023,43.66013,-79.43056999999999,1970-01-01 00:00:00.000043023
14,BNYB053,"357 Rusholme Rd, Toronto, ON M6H 2Z4",1970-01-01 00:00:00.000043023,43.66013,-79.43056999999999,1970-01-01 00:00:00.000043023,BNYB053,"455 Cooperage St, Toronto, ON M5A 1G9",1970-01-01 00:00:00.000043023,43.65193,-79.3565,1970-01-01 00:00:00.000043023
15,BNYB053,"455 Cooperage St, Toronto, ON M5A 1G9",1970-01-01 00:00:00.000043023,43.65193,-79.3565,1970-01-01 00:00:00.000043023,BNYB053,"586-640 Lansdowne Ave, Toronto, ON M6H 3Y7",1970-01-01 00:00:00.000043023,43.66129,-79.44391999999999,1970-01-01 00:00:00.000043023
17,BNYB054,"111 Peter St, Toronto, ON M5V 2G9",1970-01-01 00:00:00.000043023,43.64779,-79.39287,1970-01-01 00:00:00.000043023,BNYB054,"128 Gamble Ave, East York, ON M4J 2P3",1970-01-01 00:00:00.000043023,43.6906,-79.3484,1970-01-01 00:00:00.000043023
18,BNYB054,"128 Gamble Ave, East York, ON M4J 2P3",1970-01-01 00:00:00.000043023,43.6906,-79.3484,1970-01-01 00:00:00.000043023,BNYB054,"388 Pape Ave, Toronto, ON M4K 3P4",1970-01-01 00:00:00.000043023,43.66959,-79.34116999999999,1970-01-01 00:00:00.000043023
19,BNYB054,"388 Pape Ave, Toronto, ON M4K 3P4",1970-01-01 00:00:00.000043023,43.66959,-79.34116999999999,1970-01-01 00:00:00.000043023,BNYB054,"47 Rodega Ln, Toronto, ON M5E 1L8",1970-01-01 00:00:00.000043023,43.64965,-79.37503000000001,1970-01-01 00:00:00.000043023
20,BNYB054,"47 Rodega Ln, Toronto, ON M5E 1L8",1970-01-01 00:00:00.000043023,43.64965,-79.37503000000001,1970-01-01 00:00:00.000043023,BNYB054,CVPA 96 Cosburn Ave (on street only),1970-01-01 00:00:00.000043023,43.68915,-79.35034,1970-01-01 00:00:00.000043023
22,BNYB057,"175 Queen St E, Toronto, ON M5A 1S2",1970-01-01 00:00:00.000043023,43.65401,-79.37173,1970-01-01 00:00:00.000043023,BNYB057,"20 Hayden St, Toronto, ON M4Y 1V8",1970-01-01 00:00:00.000043023,43.6699,-79.38529,1970-01-01 00:00:00.000043023
23,BNYB057,"20 Hayden St, Toronto, ON M4Y 1V8",1970-01-01 00:00:00.000043023,43.6699,-79.38529,1970-01-01 00:00:00.000043023,BNYB057,"26 Gladstone Ave, Toronto, ON M6J 3K6",1970-01-01 00:00:00.000043023,43.64356,-79.4276,1970-01-01 00:00:00.000043023
