,VIN,Address,Date,Lat,Long,t2,VIN1,Address1,Date1,Lat1,Long1,t21
30,BNYB059,"278 Roncesvalles Ave, Toronto, ON M6R 2M2",2017-10-17 00:00:00,43.64769,-79.44968,2017-10-17 07:19:00,BNYB059,"130A Geoffrey St, Toronto, ON M6R 1P5",2017-10-17 07:29:00,43.64801,-79.45007,2017-10-17 07:29:00
31,BNYB059,"130A Geoffrey St, Toronto, ON M6R 1P5",2017-10-17 07:29:00,43.64801,-79.45007,2017-10-17 07:29:00,BNYB059,"673 Runnymede Rd, Toronto, ON M6P 2A4",2017-10-17 08:10:00,43.66578,-79.48195,2017-10-17 08:40:00
32,BNYB059,"673 Runnymede Rd, Toronto, ON M6P 2A4",2017-10-17 08:10:00,43.66578,-79.48195,2017-10-17 08:40:00,BNYB059,"284 Markham St, Toronto, ON M6J 2G6",2017-10-17 09:25:00,43.65547,-79.40867,2017-10-17 09:53:00
33,BNYB059,"284 Markham St, Toronto, ON M6J 2G6",2017-10-17 09:25:00,43.65547,-79.40867,2017-10-17 09:53:00,BNYB059,"498-504 Euclid Ave, Toronto, ON M6G 2T3",2017-10-17 18:28:00,43.65925,-79.41282,2017-10-17 19:19:00
34,BNYB059,"498-504 Euclid Ave, Toronto, ON M6G 2T3",2017-10-17 18:28:00,43.65925,-79.41282,2017-10-17 19:19:00,BNYB059,"17 First Ave, Toronto, ON M4M 1W7",2017-10-17 20:20:00,43.66471,-79.35155,2017-10-17 21:51:00
35,BNYB059,"17 First Ave, Toronto, ON M4M 1W7",2017-10-17 20:20:00,43.66471,-79.35155,2017-10-17 21:51:00,BNYB059,"21 Hampton Ave, Toronto, ON M4K 2Y5",2017-10-17 22:06:00,43.67288,-79.3509,2017-10-17 23:12:00
36,BNYB059,"21 Hampton Ave, Toronto, ON M4K 2Y5",2017-10-17 22:06:00,43.67288,-79.3509,2017-10-17 23:12:00,BNYB059,Green P-35 Erindale Ave(no double parking),2017-10-17 23:22:00,43.67732,-79.35747,2017-10-17 23:57:00
38,BNYB061,"32-34 Oriole Rd, Toronto, ON M4V 2E8",2017-10-17 00:00:00,43.68805,-79.40031,2017-10-17 08:25:00,BNYB061,On street-18 Emily St(extra parking in garage),2017-10-17 08:55:00,43.64659,-79.38511,2017-10-17 13:01:00
39,BNYB061,On street-18 Emily St(extra parking in garage),2017-10-17 08:55:00,43.64659,-79.38511,2017-10-17 13:01:00,BNYB061,"358 Kingswood Rd, Toronto, ON M4E 3P1",2017-10-17 19:34:00,43.68333,-79.28726,2017-10-17 21:41:00
40,BNYB061,"358 Kingswood Rd, Toronto, ON M4E 3P1",2017-10-17 19:34:00,43.68333,-79.28726,2017-10-17 21:41:00,BNYB061,Starlight-80 Wellesley St E (behind building),2017-10-17 22:52:00,43.6663,-79.38019,2017-10-17 23:47:00
42,BNYB063,"84 Holly St, Toronto, ON M4S 3C9",2017-10-17 00:00:00,43.70645,-79.39665,2017-10-17 13:36:00,BNYB063,"55 Redpath Ave, Toronto, ON M4S 3G8",2017-10-17 17:33:00,43.70527,-79.39184,2017-10-17 19:24:00
45,BNYB072,"394 Sammon Ave, East York, ON M4J 2A8",2017-10-17 00:00:00,43.68746,-79.33222,2017-10-17 04:48:00,BNYB072,"90 Nassau St, Toronto, ON M5T 1M7",2017-10-17 05:43:00,43.65492,-79.40386,2017-10-17 08:50:00
46,BNYB072,"90 Nassau St, Toronto, ON M5T 1M7",2017-10-17 05:43:00,43.65492,-79.40386,2017-10-17 08:50:00,BNYB072,"501-517 Adelaide St E, Toronto, ON M5A",2017-10-17 09:58:00,43.65264,-79.36596,2017-10-17 14:22:00
47,BNYB072,"501-517 Adelaide St E, Toronto, ON M5A",2017-10-17 09:58:00,43.65264,-79.36596,2017-10-17 14:22:00,BNYB072,"100-102 Madison Ave, Toronto, ON M5R 2S4",2017-10-17 15:07:00,43.6718,-79.40462,2017-10-17 16:58:00
48,BNYB072,"100-102 Madison Ave, Toronto, ON M5R 2S4",2017-10-17 15:07:00,43.6718,-79.40462,2017-10-17 16:58:00,BNYB072,"284 Crawford St, Toronto, ON M6J 2V8",2017-10-17 17:18:00,43.65101,-79.41745,2017-10-17 20:20:00
49,BNYB072,"284 Crawford St, Toronto, ON M6J 2V8",2017-10-17 17:18:00,43.65101,-79.41745,2017-10-17 20:20:00,BNYB072,"1404-1406 Davenport Rd, Toronto, ON M6H",2017-10-17 20:51:00,43.67328,-79.43983,2017-10-17 23:57:00
51,BNYB074,"50 Simpson Ave, Toronto, ON M4K 1A2",2017-10-17 00:00:00,43.66679,-79.35041,2017-10-17 09:15:00,BNYB074,"3 Berkeley St, Toronto, ON M5A 4J5",2017-10-17 09:53:00,43.65043,-79.36298,2017-10-17 16:22:00
52,BNYB074,"3 Berkeley St, Toronto, ON M5A 4J5",2017-10-17 09:53:00,43.65043,-79.36298,2017-10-17 16:22:00,BNYB074,"6 Natalie Pl, Toronto, ON M4M 3P7",2017-10-17 16:48:00,43.66205,-79.34223,2017-10-17 16:48:00
53,BNYB074,"6 Natalie Pl, Toronto, ON M4M 3P7",2017-10-17 16:48:00,43.66205,-79.34223,2017-10-17 16:48:00,BNYB074,Green P-35 Erindale Ave(no double parking),2017-10-17 17:08:00,43.67732,-79.35747,2017-10-17 23:57:00
55,BNYB075,"36-38 Manning Ave, Toronto, ON M6J 2K4",2017-10-17 00:00:00,43.64745,-79.40901,2017-10-17 01:01:00,BNYB075,"1624 Queen St W, Toronto, ON M6R 1B2",2017-10-17 01:16:00,43.63968,-79.44286,2017-10-17 13:01:00
56,BNYB075,"1624 Queen St W, Toronto, ON M6R 1B2",2017-10-17 01:16:00,43.63968,-79.44286,2017-10-17 13:01:00,BNYB075,"71-87 Glendale Ave, Toronto, ON M6R 2S8",2017-10-17 13:26:00,43.64114,-79.45119,2017-10-17 15:27:00
57,BNYB075,"71-87 Glendale Ave, Toronto, ON M6R 2S8",2017-10-17 13:26:00,43.64114,-79.45119,2017-10-17 15:27:00,BNYB075,"62 Macdonell Ave, Toronto, ON M6R 2A2",2017-10-17 15:37:00,43.64218,-79.43871,2017-10-17 17:58:00
58,BNYB075,"62 Macdonell Ave, Toronto, ON M6R 2A2",2017-10-17 15:37:00,43.64218,-79.43871,2017-10-17 17:58:00,BNYB075,"1550 A Queen St W, Toronto, ON M6R 1A6",2017-10-17 19:19:00,43.64047,-79.44005,2017-10-17 21:11:00
59,BNYB075,"1550 A Queen St W, Toronto, ON M6R 1A6",2017-10-17 19:19:00,43.64047,-79.44005,2017-10-17 21:11:00,BNYB075,"1040 Queen St W, Toronto, ON M6J 1H7",2017-10-17 21:36:00,43.64393,-79.42036,2017-10-17 23:57:00
62,BNYB079,"44 Oriole Rd, Toronto, ON M4V 2E8",2017-10-17 00:00:00,43.68863,-79.40062,2017-10-17 09:53:00,BNYB079,"185 Balmoral Ave, Toronto, ON M4V 1J8",2017-10-17 10:03:00,43.68385,-79.40261,2017-10-17 15:27:00
63,BNYB079,"185 Balmoral Ave, Toronto, ON M4V 1J8",2017-10-17 10:03:00,43.68385,-79.40261,2017-10-17 15:27:00,BNYB079,"534 Brunswick Ave, Toronto, ON M5R 2Z5",2017-10-17 16:12:00,43.67367,-79.41044,2017-10-17 16:28:00
64,BNYB079,"534 Brunswick Ave, Toronto, ON M5R 2Z5",2017-10-17 16:12:00,43.67367,-79.41044,2017-10-17 16:28:00,BNYB079,"25 Lennox St, Toronto, ON M5S",2017-10-17 16:43:00,43.66418,-79.40895,2017-10-17 17:58:00
65,BNYB079,"25 Lennox St, Toronto, ON M5S",2017-10-17 16:43:00,43.66418,-79.40895,2017-10-17 17:58:00,BNYB079,"1515 Bathurst St, York, ON M5P 3H4",2017-10-17 18:18:00,43.68449,-79.41672,2017-10-17 19:29:00
66,BNYB079,"1515 Bathurst St, York, ON M5P 3H4",2017-10-17 18:18:00,43.68449,-79.41672,2017-10-17 19:29:00,BNYB079,"176-190 Cherry St, Toronto, ON M5A",2017-10-17 20:00:00,43.64228,-79.35013,2017-10-17 20:15:00
67,BNYB079,"176-190 Cherry St, Toronto, ON M5A",2017-10-17 20:00:00,43.64228,-79.35013,2017-10-17 20:15:00,BNYB079,"12 Pretoria Ave, Toronto, ON M4K 1T1",2017-10-17 20:51:00,43.67861,-79.35885,2017-10-17 23:57:00
70,BNYB081,"12 Bater Ave, East York, ON M4K 2C1",2017-10-17 00:10:00,43.68703,-79.35516,2017-10-17 00:25:00,BNYB081,"63 Pepler Ave, East York, ON M4J 2Y7",2017-10-17 00:35:00,43.69572,-79.35012,2017-10-17 06:24:00
71,BNYB081,"63 Pepler Ave, East York, ON M4J 2Y7",2017-10-17 00:35:00,43.69572,-79.35012,2017-10-17 06:24:00,BNYB081,Green P-15 Wellesley St. e(No Double Parking),2017-10-17 08:30:00,43.66484,-79.38359,2017-10-17 12:11:00
72,BNYB081,Green P-15 Wellesley St. e(No Double Parking),2017-10-17 08:30:00,43.66484,-79.38359,2017-10-17 12:11:00,BNYB081,Green P-25 Dundas St E(no double parking),2017-10-17 12:36:00,43.656,-79.37993,2017-10-17 16:22:00
73,BNYB081,Green P-25 Dundas St E(no double parking),2017-10-17 12:36:00,43.656,-79.37993,2017-10-17 16:22:00,BNYB081,"125 Western Battery Rd, Toronto, ON M6K",2017-10-17 17:08:00,43.64006,-79.4152,2017-10-17 18:49:00
74,BNYB081,"125 Western Battery Rd, Toronto, ON M6K",2017-10-17 17:08:00,43.64006,-79.4152,2017-10-17 18:49:00,BNYB081,"288 Borden St, Toronto, ON M5S 2N6",2017-10-17 19:24:00,43.66473,-79.40832,2017-10-17 20:10:00
75,BNYB081,"288 Borden St, Toronto, ON M5S 2N6",2017-10-17 19:24:00,43.66473,-79.40832,2017-10-17 20:10:00,BNYB081,"96-102 Robinson St, Toronto, ON M6J 1L7",2017-10-17 20:56:00,43.64842,-79.40987,2017-10-17 22:47:00
76,BNYB081,"96-102 Robinson St, Toronto, ON M6J 1L7",2017-10-17 20:56:00,43.64842,-79.40987,2017-10-17 22:47:00,BNYB081,"437 Roncesvalles Ave, Toronto, ON M6R 3B9",2017-10-17 23:12:00,43.6525,-79.45076,2017-10-17 23:57:00
