TTS Zone,Pop,AgeAvg,IncMed,PropDet,PropHigh,PropLow,Total Seconds Available,Availability ,Designated Car2goSpots,Trip Demand
74,3840,43.3,68978,0.122213623,0,2.240583094,384610,56.158103,,35
75,3775,41.9,41771,0.065180599,0.611068116,2.004303422,1081833,157.961803,541,81
63,4560.076884,32.9,85148,0,4.439997967,0.008377355,,,,
76,4190,40.1,39245,0.01629515,1.238431383,1.531744079,349352,51.0099727,,45
77,4349.584134,33.8,82950,0.004037432,4.643047203,0.155441145,798179,116.5445997,3,81
78,3942.905263,33.8,82950,0.003659939,4.208930024,0.140907657,1325335,193.5162878,38,79
79,7364.10925,32.2,67193,0,7.013679061,0.066894958,1116346,163.0011535,5,51
80,4295.89075,32.2,67193,0,4.091465508,0.039023515,13893,2.028560165,,1
82,619.2576301,34.9,72619,0,0.601494545,0.013704939,141513,20.66275352,,5
84,1814.244982,34.9,72619,0,1.762204302,0.04015149,2284974,333.6361645,134,104
85,1517.525795,34.9,72619,0,1.473996352,0.033584727,2708,0.395403507,,2
86,2494.560928,34.9,72619,0,2.423005738,0.055207726,13329,1.94620877,,2
87,1506.505937,34.9,72619,0,1.463292593,0.033340844,9373,1.368580899,,1
89,12163.81565,36.17070366,60079.10362,0.047759254,10.14108482,1.897253567,1682578,245.6784499,5,168
90,13740,38.06750554,76525.19904,0.057033024,8.546806055,4.057492293,1716346,250.6090207,,175
91,4570,39.7,69193,0.236279672,0,2.672404562,244377,35.68224627,,46
92,3455,39.7,77120,0.105918474,0.277017546,1.988008272,464857,67.87521719,,49
93,6290,40.38535625,69700.54909,0.179246647,0.38293602,4.318214689,1019573,148.8710266,,80
94,5655,41.1,81440,0.391083595,0.130361198,3.21829208,976599,142.5962591,,71
95,4950,40,67584,0.635510841,0.008147575,2.688699712,578755,84.50581862,,49
96,4775,39.8,73728,0.260722396,0,3.022750283,526758,76.91357484,,38
97,4570,40.3,69274,0.171099073,0.0325903,2.998307558,1152881,168.3357425,,103
83,1009.476059,34.9,72619,0,0.98051976,0.022340957,,,,
98,3960,41.4,76800,0.114066048,0.171099073,2.509453065,983408,143.5904624,,144
99,8825,37,69241,0.138508773,4.530051636,2.876093935,775801,113.2771183,,125
100,3450,41.8,63808,0.146656348,0.114066048,2.13466462,915843,133.7250865,,99
101,5800,39.7,55360,0.293312696,1.515448929,2.631666688,565707,82.60063954,,56
102,2765,38.8,68198,0.138508773,0.122213623,1.898384948,334015,48.7705696,,38
88,978.4286689,34.9,72619,0,0.950362948,0.021653839,,,,
103,3095,40.5,66261,0.301460271,0,1.841351924,297842,43.4888373,,17
104,4995,40.57281406,68550.63164,0.431821469,0,2.924979384,864495,126.2276052,,43
105,10990,39.2703542,53374.8195,0.627363266,2.86794636,4.147115617,1040392,151.9108736,,92
106,7100,38.7,64614,0.244427247,0.814757489,3.837507771,727458,106.2184064,,43
107,5980,39.6,63520,0.211836947,0.659953566,3.55234265,1706241,249.1335582,3,109
108,3285,39.8,60343,0.154803923,0.171099073,1.841351924,261940,38.24667455,,29
109,7340,39.58119597,61541.70729,0.448116619,1.678400426,3.560490225,1847281,269.7272475,,143
110,16431.18435,39.41458876,41494.10728,0.278143741,8.419090772,5.41926868,1925107,281.090864,,201
113,7220,41.42928252,76311.6123,0.71698659,0.529592368,3.617523249,3001067,438.1951319,,166
114,4075,38.3,79616,0.309607846,0.676248716,2.004303422,920367,134.3856498,,93
115,5400,39.7,82645,0.871790513,0.285165121,2.615371538,1120448,163.6000993,,91
116,6585,38.7,56634,0.521444793,2.509453065,2.248730668,726389,106.0623184,,70
117,2955,39.1,67008,0.097770899,1.108070184,1.124365334,617012,90.09184225,,32
118,3125,37.8,69266,0.244427247,0,2.15095977,957593,139.8211339,,56
119,9525,38.86612873,77200.00551,0.293312696,6.998766827,1.246578958,2654913,387.6521092,,115
120,6115,40.93750094,87868.53038,1.531744079,1.018446861,2.012450997,555507,81.1113058,,34
122,8745,42.2,86435,1.548039228,4.456723462,1.05103716,1298536,189.6032824,,49
124,5525,38.5,124928,1.873942224,0,1.474711054,766410,111.9059092,,33
125,6050,43.9,106848,1.41767803,1.108070184,1.588777103,634623,92.66327916,,28
126,4510,38.5,83895,0.708839015,0.065180599,2.15095977,1098065,160.3318878,,62
127,4545,39,101939,1.425825605,0,1.45026833,607126,88.64835662,,23
129,4460,40.7,68882,1.409530455,0,1.336202281,317451,46.35200841,,11
111,137.7337175,49.8,86699,0,0.076309313,0,,,,
146,2046.163985,38.9,75648,0.0839084,0,1.099641669,1352150,197.4316294,,58
112,276.4031111,49.8,86699,0,0.153137023,0,,,,
147,6015,39.1,46860,0.211836947,0.814757489,3.014602708,1389152,202.8344065,,42
162,3115,39.7,70195,0.806609914,0,1.059184735,904329,132.0438915,,24
163,6840,40.2,64400,1.930975248,0.268869971,1.930975248,750065,109.5193248,,37
164,7800,41.03736232,73418.85001,1.108070184,0,3.682703848,870205,127.0613401,,29
165,6335,39.94655541,70307.22305,0.912528387,0,3.23458723,877133,128.0729189,,32
166,5500,38.4,78240,0.423673894,0,3.169406631,1320199,192.7663644,,59
167,4375,44.9,67029,0.219984522,0.162951498,2.232435519,547515,79.944369,3,25
121,335.8631714,49.8,86699,0,0.186079983,0,,,,
169,3175.128858,44,71936,0.407879225,0.64813685,1.095127781,629912,91.97541139,,28
170,5350,44,59349,0.68439629,1.002151711,2.16725492,1075151,156.9861434,3,46
171,4355,41.1,64683,0.977708986,0,1.890237373,202265,29.53334209,,13
172,6255,40.5,64736,1.271021682,0.741429315,2.093926746,596865,87.15011608,,15
173,12065,40.5377495,58220.88757,1.670252852,4.000459269,4.513756487,1672457,244.2006512,,62
174,4180,39.4,94976,1.344349856,0.472559343,0.839200213,548507,80.08921401,,24
175,5475,42.5,46848,1.08362746,1.189545933,1.735433451,700864,102.3353337,,34
176,5120,42.8,60058,1.222136233,0.554035092,1.409530455,193011,28.18213676,,7
185,5310,43.2,103936,1.376940156,1.482858629,0.977708986,320232,46.75807087,,10
186,4125,47.4,100059,0.513297218,1.710990726,1.018446861,568663,83.0322543,,24
187,2210,41.2,93184,0.195541797,0.497002068,1.108070184,294147,42.94931885,,23
188,4630,45.8,86016,0.71698659,2.159107345,0.888085663,1082400,158.0445924,,40
189,3052.193509,40.8,181419,1.180175093,0.105372776,0.512814177,760509,111.0442858,,25
168,1454.871142,44,71936,0.186893742,0.296981837,0.501796896,,,,
190,487.8064915,40.8,181419,0.188617488,0.016840847,0.081958789,101365,14.8006191,,7
201,5503.918636,39,93760,1.251268262,0.800500813,2.012909812,1157617,169.0272606,,33
202,8485,45.39786219,83570.2474,0.545887517,5.312218825,2.13466462,910524,132.9484428,,43
203,4040,47.00634116,117167.9215,0.301460271,1.719138301,1.409530455,214942,31.38435031,,10
204,5415,48.8,76660,0.187394222,4.147115617,1.010299286,383315,55.96901602,,26
205,5150,49.6,129344,0.961413837,1.156955634,1.922827673,159954,23.35538131,,17
206,2660,40.1,274286,1.124365334,0,0.374788445,180418,26.34339364,,11
207,4445,39.7,247040,1.719138301,0,0.790314764,241653,35.28450655,,14
208,2463.096485,39.1,127403,0.538301645,0.141658328,0.920779129,26964,3.937097551,,1
209,9845,46.02003396,79385.43402,0.146656348,8.473477881,0.757724464,1714728,250.3727715,6,91
210,8971.081364,42.41876429,73683.53773,0.687854561,5.970133917,1.303153166,926801,135.3250982,,61
216,7236.903515,38.98982181,118706.0844,1.710429024,0.868640958,2.224184777,1109537,162.0069502,,49
217,7950,41.03515709,127522.8683,2.802765761,0.36664087,1.947270398,1169964,170.8300845,,48
249,19360,40.32441013,53841.05945,2.183550069,8.440887582,1.939122823,2362999,345.0288376,,60
250,14415,40.41834356,65476.71693,3.804917472,3.650113549,2.664256988,1884418,275.1497364,,79
251,8040,38.9742667,62698.24262,0.814757489,2.045041296,2.737585162,542339,79.18860514,,40
252,7330,38.9,101803,1.091775035,0.545887517,3.063488157,935889,136.6520654,,38
253,7090,39.77764505,125496.3192,2.159107345,0.114066048,2.265025818,1052418,153.6668273,,55
254,5200,42.7,77152,0.635510841,0,3.698998998,650804,95.02591733,,49
255,6890,38.9,95772,1.059184735,0.35034572,3.413833877,1565671,228.608495,,109
256,6015,41.2,66816,0.977708986,0.806609914,2.86794636,859589,125.5112649,,46
257,8125,38.36656071,79497.50286,0.994004136,0.236279672,4.513756487,719943,105.1211179,,60
258,7265,39.7325711,78807.11507,0.741429315,0.888085663,3.275325104,4526067,660.8651277,,213
259,7550,41.77146235,93924.61466,2.990159983,0.097770899,1.759876175,522505,76.29258107,,34
262,3445,41.9,89549,1.686548001,0,0.505149643,330025,48.18797728,,11
263,6545,40.45565183,92891.71923,1.833204349,0,2.281320968,757641,110.6255202,,38
264,6850,40.23027795,81447.35723,0.619215691,0.439969044,3.470866901,1728078,252.3220465,,134
265,3850,37.7,64384,0.472559343,0.146656348,1.988008272,487852,71.2327887,,48
266,6485,37.8,74170,0.912528387,0.252574821,3.226439655,2966816,433.1940368,,184
267,3255,41.9,60032,0.089623324,0.162951498,1.971713122,237718,34.70994495,,21
