FID,OID_,FID_,Lat,Long,Lat1,Long1,Shape_Leng,FID_1,VIN,Address,Date,DateD,DateH,Lat_1,Long_1,t2,t2D,t2H,VIN1,Address1,Date1,Date1D,Date1H,Lat1_1,Long1_1,t21,t21D,t21H
1061,0,1062,43.641109999999998,-79.422479999999993,43.645949999999999,-79.423370000000006,751.105158530000040,1062,BNYB268,"99 Sudbury St, Toronto, ON M6J 3S7",10/17/2017 9:00,17,9,43.641109999999998,-79.422479999999993,10/17/2017 9:05,17,9,BNYB268,"176 Dovercourt Rd, Toronto, ON M6J 3C4",10/17/2017 10:19,17,10,43.645949999999999,-79.423370000000006,10/17/2017 13:57,17,13
1062,0,1063,43.645949999999999,-79.423370000000006,43.650680000000001,-79.370469999999997,5933.590448590000100,1063,BNYB268,"176 Dovercourt Rd, Toronto, ON M6J 3C4",10/17/2017 10:19,17,10,43.645949999999999,-79.423370000000006,10/17/2017 13:57,17,13,BNYB268,"187 King St E, Toronto, ON M5A 4M5",10/17/2017 15:07,17,15,43.650680000000001,-79.370469999999997,10/17/2017 15:17,17,15
1063,0,1064,43.650680000000001,-79.370469999999997,43.663809999999998,-79.364930000000001,2112.295875639999800,1064,BNYB268,"187 King St E, Toronto, ON M5A 4M5",10/17/2017 15:07,17,15,43.650680000000001,-79.370469999999997,10/17/2017 15:17,17,15,BNYB268,"58 Spruce St, Toronto, ON M5A 2H9",10/17/2017 15:37,17,15,43.663809999999998,-79.364930000000001,10/17/2017 23:57,17,23
1064,0,1065,43.660660000000000,-79.454539999999994,43.702719999999999,-79.400270000000006,8855.128849290000300,1065,BNYB269,"1-5 Abbott Ave, Toronto, ON M6P 1H3",10/17/2017 0:00,17,0,43.660660000000000,-79.454539999999994,10/17/2017 8:00,17,8,BNYB269,"79 Hillsdale Ave W, Toronto, ON M5P 1G2",10/17/2017 9:58,17,9,43.702719999999999,-79.400270000000006,10/17/2017 16:28,17,16
1065,0,1066,43.702719999999999,-79.400270000000006,43.661450000000002,-79.458010000000002,9037.173659440000800,1066,BNYB269,"79 Hillsdale Ave W, Toronto, ON M5P 1G2",10/17/2017 9:58,17,9,43.702719999999999,-79.400270000000006,10/17/2017 16:28,17,16,BNYB269,"57 Kenneth Ave, Toronto, ON M6P 1J1",10/17/2017 17:28,17,17,43.661450000000002,-79.458010000000002,10/17/2017 20:35,17,20
1066,0,1067,43.661450000000002,-79.458010000000002,43.659480000000002,-79.352069999999998,11797.082876000000000,1067,BNYB269,"57 Kenneth Ave, Toronto, ON M6P 1J1",10/17/2017 17:28,17,17,43.661450000000002,-79.458010000000002,10/17/2017 20:35,17,20,BNYB269,"37 Munro St, Toronto, ON M4M 2S6",10/17/2017 21:11,17,21,43.659480000000002,-79.352069999999998,10/17/2017 21:51,17,21
1067,0,1068,43.659480000000002,-79.352069999999998,43.666600000000003,-79.371309999999994,2405.756267010000100,1068,BNYB269,"37 Munro St, Toronto, ON M4M 2S6",10/17/2017 21:11,17,21,43.659480000000002,-79.352069999999998,10/17/2017 21:51,17,21,BNYB269,"15 Prospect St, Toronto, ON M4X 1C7",10/17/2017 22:26,17,22,43.666600000000003,-79.371309999999994,10/17/2017 23:27,17,23
1068,0,1069,43.694380000000002,-79.323449999999994,43.666040000000002,-79.375470000000007,7250.030066399999700,1069,BNYB276,"58-60 Virginia Ave, East York, ON M4C 2S9",10/17/2017 0:00,17,0,43.694380000000002,-79.323449999999994,10/17/2017 19:04,17,19,BNYB276,Starlight -155 Wellesley St E (rsvd spaces only),10/17/2017 19:55,17,19,43.666040000000002,-79.375470000000007,10/17/2017 20:25,17,20
1069,0,1070,43.666040000000002,-79.375470000000007,43.659300000000002,-79.347809999999996,3249.080328390000000,1070,BNYB276,Starlight -155 Wellesley St E (rsvd spaces only),10/17/2017 19:55,17,19,43.666040000000002,-79.375470000000007,10/17/2017 20:25,17,20,BNYB276,"763 Queen St E, Toronto, ON M4M 1H3",10/17/2017 20:56,17,20,43.659300000000002,-79.347809999999996,10/17/2017 21:26,17,21
1070,0,1071,43.659300000000002,-79.347809999999996,43.635350000000003,-79.429800000000000,9842.719670779999400,1071,BNYB276,"763 Queen St E, Toronto, ON M4M 1H3",10/17/2017 20:56,17,20,43.659300000000002,-79.347809999999996,10/17/2017 21:26,17,21,BNYB276,"46 Spencer Ave, Toronto, ON M6K 2J7",10/17/2017 22:16,17,22,43.635350000000003,-79.429800000000000,10/17/2017 23:17,17,23
1071,0,1072,43.635350000000003,-79.429800000000000,43.642009999999999,-79.429950000000005,1024.568190550000100,1072,BNYB276,"46 Spencer Ave, Toronto, ON M6K 2J7",10/17/2017 22:16,17,22,43.635350000000003,-79.429800000000000,10/17/2017 23:17,17,23,BNYB276,"1278 Queen St W, Toronto, ON M6K 2C6",10/17/2017 23:27,17,23,43.642009999999999,-79.429950000000005,10/17/2017 23:57,17,23
1072,0,1073,43.668140000000001,-79.308610000000002,43.668880000000001,-79.309629999999999,160.816215784000010,1073,BNYB283,"1828 Queen St E, Toronto, ON M4L 1G9",10/17/2017 0:00,17,0,43.668140000000001,-79.308610000000002,10/17/2017 7:14,17,7,BNYB283,"24 Lockwood Rd, Toronto, ON M4L 3M8",10/17/2017 7:24,17,7,43.668880000000001,-79.309629999999999,10/17/2017 10:29,17,10
1073,0,1074,43.668880000000001,-79.309629999999999,43.644559999999998,-79.369709999999998,7663.736767999999800,1074,BNYB283,"24 Lockwood Rd, Toronto, ON M4L 3M8",10/17/2017 7:24,17,7,43.668880000000001,-79.309629999999999,10/17/2017 10:29,17,10,BNYB283,Targetpark-Loblaws Queens Quay E(enter off Jarvis),10/17/2017 11:04,17,11,43.644559999999998,-79.369709999999998,10/17/2017 11:50,17,11
1074,0,1075,43.644559999999998,-79.369709999999998,43.649549999999998,-79.361689999999996,1177.440109610000000,1075,BNYB283,Targetpark-Loblaws Queens Quay E(enter off Jarvis),10/17/2017 11:04,17,11,43.644559999999998,-79.369709999999998,10/17/2017 11:50,17,11,BNYB283,"Green P-31 Parliament St(surface lot, not garage)",10/17/2017 12:00,17,12,43.649549999999998,-79.361689999999996,10/17/2017 23:57,17,23
1075,0,1076,43.680410000000002,-79.339640000000003,43.679749999999999,-79.345510000000004,661.295319048000010,1076,BNYB284,"6-14 Dewhurst Blvd, Toronto, ON M4J",10/17/2017 11:20,17,11,43.680410000000002,-79.339640000000003,10/17/2017 11:20,17,11,BNYB284,"722 Pape Ave, Toronto, ON M4K 3S7",10/17/2017 19:39,17,19,43.679749999999999,-79.345510000000004,10/17/2017 20:05,17,20
1076,0,1077,43.679749999999999,-79.345510000000004,43.677320000000002,-79.357470000000006,1382.921621340000000,1077,BNYB284,"722 Pape Ave, Toronto, ON M4K 3S7",10/17/2017 19:39,17,19,43.679749999999999,-79.345510000000004,10/17/2017 20:05,17,20,BNYB284,Green P-35 Erindale Ave(no double parking),10/17/2017 21:26,17,21,43.677320000000002,-79.357470000000006,10/17/2017 23:57,17,23
1077,0,1078,43.705340000000000,-79.310299999999998,43.708100000000002,-79.296319999999994,1613.240833220000000,1078,BNYB292,"132 St Columba Pl, Toronto, ON M4B",10/17/2017 0:00,17,0,43.705340000000000,-79.310299999999998,10/17/2017 13:52,17,13,BNYB292,"122 Glencrest Blvd, East York, ON M4B 1L8",10/17/2017 14:37,17,14,43.708100000000002,-79.296319999999994,10/17/2017 23:57,17,23
1078,0,1079,43.682929999999999,-79.402389999999997,43.683019999999999,-79.405270000000002,320.899323747999970,1079,BNYB293,"25 Clarendon Ave, Toronto, ON M4V 1H8",10/17/2017 0:00,17,0,43.682929999999999,-79.402389999999997,10/17/2017 10:03,17,10,BNYB293,"6 Warren Rd, Toronto, ON M4V 2R5",10/17/2017 10:09,17,10,43.683019999999999,-79.405270000000002,10/17/2017 23:57,17,23
1079,0,1080,43.658850000000001,-79.417060000000006,43.646599999999999,-79.394769999999994,3115.938369510000000,1080,BNYB294,"284-286 Grace St, Toronto, ON M6G 3A6",10/17/2017 0:00,17,0,43.658850000000001,-79.417060000000006,10/17/2017 7:09,17,7,BNYB294,Green P-363 Adelaide St W(no double parking),10/17/2017 7:34,17,7,43.646599999999999,-79.394769999999994,10/17/2017 16:38,17,16
