FID,VIN,Address,Date,DateD,DateH,Lat,Long,t2,t2D,t2H,VIN1,Address1,Date1,Date1D,Date1H,Lat1,Long1,t21,t21D,t21H
1060,BNYB256,"19 Northridge Ave, East York, ON M4J 4P1",10/17/2017 8:55,17,8,43.69436,-79.33274,10/17/2017 20:15,17,20,BNYB256,"128 Gamble Ave, East York, ON M4J 2P3",10/17/2017 20:35,17,20,43.69057,-79.3483,10/17/2017 23:32,17,23
1061,BNYB268,"188 Quebec Ave, Toronto, ON M6P 2T8",10/17/2017 0:00,17,0,43.658,-79.46891,10/17/2017 8:10,17,8,BNYB268,"99 Sudbury St, Toronto, ON M6J 3S7",10/17/2017 9:00,17,9,43.64111,-79.42248,10/17/2017 9:05,17,9
1062,BNYB268,"99 Sudbury St, Toronto, ON M6J 3S7",10/17/2017 9:00,17,9,43.64111,-79.42248,10/17/2017 9:05,17,9,BNYB268,"176 Dovercourt Rd, Toronto, ON M6J 3C4",10/17/2017 10:19,17,10,43.64595,-79.42337,10/17/2017 13:57,17,13
1063,BNYB268,"176 Dovercourt Rd, Toronto, ON M6J 3C4",10/17/2017 10:19,17,10,43.64595,-79.42337,10/17/2017 13:57,17,13,BNYB268,"187 King St E, Toronto, ON M5A 4M5",10/17/2017 15:07,17,15,43.65068,-79.37047,10/17/2017 15:17,17,15
1064,BNYB268,"187 King St E, Toronto, ON M5A 4M5",10/17/2017 15:07,17,15,43.65068,-79.37047,10/17/2017 15:17,17,15,BNYB268,"58 Spruce St, Toronto, ON M5A 2H9",10/17/2017 15:37,17,15,43.66381,-79.36493,10/17/2017 23:57,17,23
1065,BNYB269,"1-5 Abbott Ave, Toronto, ON M6P 1H3",10/17/2017 0:00,17,0,43.66066,-79.45454,10/17/2017 8:00,17,8,BNYB269,"79 Hillsdale Ave W, Toronto, ON M5P 1G2",10/17/2017 9:58,17,9,43.70272,-79.40027,10/17/2017 16:28,17,16
1066,BNYB269,"79 Hillsdale Ave W, Toronto, ON M5P 1G2",10/17/2017 9:58,17,9,43.70272,-79.40027,10/17/2017 16:28,17,16,BNYB269,"57 Kenneth Ave, Toronto, ON M6P 1J1",10/17/2017 17:28,17,17,43.66145,-79.45801,10/17/2017 20:35,17,20
1067,BNYB269,"57 Kenneth Ave, Toronto, ON M6P 1J1",10/17/2017 17:28,17,17,43.66145,-79.45801,10/17/2017 20:35,17,20,BNYB269,"37 Munro St, Toronto, ON M4M 2S6",10/17/2017 21:11,17,21,43.65948,-79.35207,10/17/2017 21:51,17,21
1068,BNYB269,"37 Munro St, Toronto, ON M4M 2S6",10/17/2017 21:11,17,21,43.65948,-79.35207,10/17/2017 21:51,17,21,BNYB269,"15 Prospect St, Toronto, ON M4X 1C7",10/17/2017 22:26,17,22,43.6666,-79.37131,10/17/2017 23:27,17,23
1069,BNYB276,"58-60 Virginia Ave, East York, ON M4C 2S9",10/17/2017 0:00,17,0,43.69438,-79.32345,10/17/2017 19:04,17,19,BNYB276,Starlight -155 Wellesley St E (rsvd spaces only),10/17/2017 19:55,17,19,43.66604,-79.37547,10/17/2017 20:25,17,20
1070,BNYB276,Starlight -155 Wellesley St E (rsvd spaces only),10/17/2017 19:55,17,19,43.66604,-79.37547,10/17/2017 20:25,17,20,BNYB276,"763 Queen St E, Toronto, ON M4M 1H3",10/17/2017 20:56,17,20,43.6593,-79.34781,10/17/2017 21:26,17,21
1071,BNYB276,"763 Queen St E, Toronto, ON M4M 1H3",10/17/2017 20:56,17,20,43.6593,-79.34781,10/17/2017 21:26,17,21,BNYB276,"46 Spencer Ave, Toronto, ON M6K 2J7",10/17/2017 22:16,17,22,43.63535,-79.4298,10/17/2017 23:17,17,23
1072,BNYB276,"46 Spencer Ave, Toronto, ON M6K 2J7",10/17/2017 22:16,17,22,43.63535,-79.4298,10/17/2017 23:17,17,23,BNYB276,"1278 Queen St W, Toronto, ON M6K 2C6",10/17/2017 23:27,17,23,43.64201,-79.42995,10/17/2017 23:57,17,23
1073,BNYB283,"1828 Queen St E, Toronto, ON M4L 1G9",10/17/2017 0:00,17,0,43.66814,-79.30861,10/17/2017 7:14,17,7,BNYB283,"24 Lockwood Rd, Toronto, ON M4L 3M8",10/17/2017 7:24,17,7,43.66888,-79.30963,10/17/2017 10:29,17,10
1074,BNYB283,"24 Lockwood Rd, Toronto, ON M4L 3M8",10/17/2017 7:24,17,7,43.66888,-79.30963,10/17/2017 10:29,17,10,BNYB283,Targetpark-Loblaws Queens Quay E(enter off Jarvis),10/17/2017 11:04,17,11,43.64456,-79.36971,10/17/2017 11:50,17,11
