FID,VIN,Address,Date,DateD,DateH,Lat,Long,t2,t2D,t2H,VIN1,Address1,Date1,Date1D,Date1H,Lat1,Long1,t21,t21D,t21H
1,BNYB048,"80-82 Roncesvalles Ave, Toronto, ON M6R 2K7",10/15/2017 0:01,15,0,43.64159,-79.44733,10/15/2017 8:42,15,8,BNYB048,"157 Garden Ave, Toronto, ON M6R 1H8",10/15/2017 8:47,15,8,43.64399,-79.44644,10/15/2017 16:00,15,16
2,BNYB048,"157 Garden Ave, Toronto, ON M6R 1H8",10/15/2017 8:47,15,8,43.64399,-79.44644,10/15/2017 16:00,15,16,BNYB048,"912 Eglinton Ave W, Toronto, ON M6C 2C2",10/15/2017 16:57,15,16,43.70073,-79.42786,10/15/2017 18:30,15,18
3,BNYB050,Green P-800 Fleet St(No Double Parking),10/15/2017 0:01,15,0,43.63691,-79.40972,10/15/2017 10:12,15,10,BNYB050,The Garrison-169 Fort York BLVD (1 car/space only),10/15/2017 11:32,15,11,43.63779,-79.40155,10/15/2017 13:39,15,13
4,BNYB050,The Garrison-169 Fort York BLVD (1 car/space only),10/15/2017 11:32,15,11,43.63779,-79.40155,10/15/2017 13:39,15,13,BNYB050,"7 Oxley St, Toronto, ON M5V",10/15/2017 12:18,15,12,43.64633,-79.39455,10/15/2017 12:44,15,12
5,BNYB050,"7 Oxley St, Toronto, ON M5V",10/15/2017 12:18,15,12,43.64633,-79.39455,10/15/2017 12:44,15,12,BNYB050,UofT-42 Harbord St-car2go park signs (enter alley),10/15/2017 14:29,15,14,43.66373,-79.40103,10/15/2017 15:19,15,15
6,BNYB050,UofT-42 Harbord St-car2go park signs (enter alley),10/15/2017 14:29,15,14,43.66373,-79.40103,10/15/2017 15:19,15,15,BNYB050,"70-80 Gowan Ave, East York, ON M4K 2E4",10/15/2017 16:10,15,16,43.68784,-79.3518,10/15/2017 17:09,15,17
7,BNYB050,"70-80 Gowan Ave, East York, ON M4K 2E4",10/15/2017 16:10,15,16,43.68784,-79.3518,10/15/2017 17:09,15,17,BNYB050,"1909 Danforth Ave, Toronto, ON M4C 1J4",10/15/2017 18:05,15,18,43.68489,-79.31641,10/15/2017 18:30,15,18
8,BNYB053,"13 Spruce St, Toronto, ON M5A 2H6",10/15/2017 0:22,15,0,43.66331,-79.36686,10/15/2017 1:12,15,1,BNYB053,"455 Cooperage St, Toronto, ON M5A 1G9",10/15/2017 1:27,15,1,43.65193,-79.3565,10/15/2017 2:47,15,2
9,BNYB053,"455 Cooperage St, Toronto, ON M5A 1G9",10/15/2017 1:27,15,1,43.65193,-79.3565,10/15/2017 2:47,15,2,BNYB053,"277 Lappin Ave, Toronto, ON M6H 1Y9",10/15/2017 3:12,15,3,43.66482,-79.44655,10/15/2017 10:32,15,10
10,BNYB053,"277 Lappin Ave, Toronto, ON M6H 1Y9",10/15/2017 3:12,15,3,43.66482,-79.44655,10/15/2017 10:32,15,10,BNYB053,"586-640 Lansdowne Ave, Toronto, ON M6H 3Y7",10/15/2017 12:13,15,12,43.66129,-79.44392,10/15/2017 12:44,15,12
11,BNYB053,"586-640 Lansdowne Ave, Toronto, ON M6H 3Y7",10/15/2017 12:13,15,12,43.66129,-79.44392,10/15/2017 12:44,15,12,BNYB053,"272 Robert St, Toronto, ON M5S 2K8",10/15/2017 13:39,15,13,43.66487,-79.40473,10/15/2017 15:04,15,15
12,BNYB053,"272 Robert St, Toronto, ON M5S 2K8",10/15/2017 13:39,15,13,43.66487,-79.40473,10/15/2017 15:04,15,15,BNYB053,"357 Rusholme Rd, Toronto, ON M6H 2Z4",10/15/2017 15:19,15,15,43.66013,-79.43057,10/15/2017 15:25,15,15
13,BNYB053,"357 Rusholme Rd, Toronto, ON M6H 2Z4",10/15/2017 15:19,15,15,43.66013,-79.43057,10/15/2017 15:25,15,15,BNYB053,"11 Brandon Ave, Toronto, ON M6H 2C8",10/15/2017 15:45,15,15,43.67008,-79.4412,10/15/2017 18:20,15,18
14,BNYB054,"111 Peter St, Toronto, ON M5V 2G9",10/15/2017 0:16,15,0,43.64779,-79.39287,10/15/2017 2:02,15,2,BNYB054,"128 Gamble Ave, East York, ON M4J 2P3",10/15/2017 2:32,15,2,43.6906,-79.3484,10/15/2017 12:59,15,12
15,BNYB054,"128 Gamble Ave, East York, ON M4J 2P3",10/15/2017 2:32,15,2,43.6906,-79.3484,10/15/2017 12:59,15,12,BNYB054,CVPA 96 Cosburn Ave (on street only),10/15/2017 14:14,15,14,43.68915,-79.35034,10/15/2017 15:30,15,15
16,BNYB054,CVPA 96 Cosburn Ave (on street only),10/15/2017 14:14,15,14,43.68915,-79.35034,10/15/2017 15:30,15,15,BNYB054,"388 Pape Ave, Toronto, ON M4K 3P4",10/15/2017 15:55,15,15,43.66959,-79.34117,10/15/2017 16:20,15,16
17,BNYB054,"388 Pape Ave, Toronto, ON M4K 3P4",10/15/2017 15:55,15,15,43.66959,-79.34117,10/15/2017 16:20,15,16,BNYB054,"47 Rodega Ln, Toronto, ON M5E 1L8",10/15/2017 16:52,15,16,43.64965,-79.37503,10/15/2017 18:30,15,18
18,BNYB057,"20 Hayden St, Toronto, ON M4Y 1V8",10/15/2017 0:01,15,0,43.6699,-79.38529,10/15/2017 3:23,15,3,BNYB057,"26 Gladstone Ave, Toronto, ON M6J 3K6",10/15/2017 3:43,15,3,43.64356,-79.4276,10/15/2017 9:17,15,9
19,BNYB057,"26 Gladstone Ave, Toronto, ON M6J 3K6",10/15/2017 3:43,15,3,43.64356,-79.4276,10/15/2017 9:17,15,9,BNYB057,GreenP-1155 King st W(no double parking),10/15/2017 11:07,15,11,43.63778,-79.42401,10/15/2017 12:49,15,12
20,BNYB057,GreenP-1155 King st W(no double parking),10/15/2017 11:07,15,11,43.63778,-79.42401,10/15/2017 12:49,15,12,BNYB057,Green P-35 Erindale Ave(no double parking),10/15/2017 13:24,15,13,43.67732,-79.35747,10/15/2017 14:09,15,14
21,BNYB057,Green P-35 Erindale Ave(no double parking),10/15/2017 13:24,15,13,43.67732,-79.35747,10/15/2017 14:09,15,14,BNYB057,"175 Queen St E, Toronto, ON M5A 1S2",10/15/2017 14:29,15,14,43.65401,-79.37173,10/15/2017 14:44,15,14
22,BNYB057,"175 Queen St E, Toronto, ON M5A 1S2",10/15/2017 14:29,15,14,43.65401,-79.37173,10/15/2017 14:44,15,14,BNYB057,Starlight -155 Wellesley St E (rsvd spaces only),10/15/2017 14:54,15,14,43.66604,-79.37547,10/15/2017 15:14,15,15
23,BNYB057,Starlight -155 Wellesley St E (rsvd spaces only),10/15/2017 14:54,15,14,43.66604,-79.37547,10/15/2017 15:14,15,15,BNYB057,"50 Mill St, Toronto, ON M5A 1G3",10/15/2017 15:35,15,15,43.65088,-79.3594,10/15/2017 16:46,15,16
24,BNYB057,"50 Mill St, Toronto, ON M5A 1G3",10/15/2017 15:35,15,15,43.65088,-79.3594,10/15/2017 16:46,15,16,BNYB057,Starlight-80 Wellesley St E (behind building),10/15/2017 17:09,15,17,43.6663,-79.38019,10/15/2017 17:09,15,17
25,BNYB057,Starlight-80 Wellesley St E (behind building),10/15/2017 17:09,15,17,43.6663,-79.38019,10/15/2017 17:09,15,17,BNYB057,Unit Park-73 The Esplanade(surface lot),10/15/2017 17:34,15,17,43.64703,-79.3733,10/15/2017 18:30,15,18
26,BNYB058,"11-17 Noble St, Toronto, ON M6K",10/15/2017 12:18,15,12,43.64284,-79.43031,10/15/2017 12:18,15,12,BNYB058,"310 Bartlett Ave N, Toronto, ON M6H 2B9",10/15/2017 13:19,15,13,43.66995,-79.43734,10/15/2017 15:45,15,15
27,BNYB058,"310 Bartlett Ave N, Toronto, ON M6H 2B9",10/15/2017 13:19,15,13,43.66995,-79.43734,10/15/2017 15:45,15,15,BNYB058,"11 Brandon Ave, Toronto, ON M6H 2C8",10/15/2017 16:57,15,16,43.6701,-79.44117,10/15/2017 17:54,15,17
28,BNYB059,"112 Grace St, Toronto, ON M6J 2S2",10/15/2017 0:01,15,0,43.65368,-79.41515,10/15/2017 3:12,15,3,BNYB059,"240 Roxton Rd, Toronto, ON M6G 3P9",10/15/2017 3:58,15,3,43.65508,-79.42167,10/15/2017 6:45,15,6
29,BNYB059,"240 Roxton Rd, Toronto, ON M6G 3P9",10/15/2017 3:58,15,3,43.65508,-79.42167,10/15/2017 6:45,15,6,BNYB059,"47 Uxbridge Ave, Toronto, ON M6N 1A5",10/15/2017 7:31,15,7,43.66911,-79.45645,10/15/2017 18:30,15,18
30,BNYB063,"1679-1681 Lake Shore Blvd E, Toronto, ON M4L 3W6",10/15/2017 0:01,15,0,43.66316,-79.31004,10/15/2017 16:30,15,16,BNYB063,"22 Vankoughnet St, Toronto, ON M5S",10/15/2017 17:29,15,17,43.65848,-79.40692,10/15/2017 18:05,15,18
31,BNYB071,"1951-1983 Danforth Ave, Toronto, ON M4C 1J4",10/15/2017 0:01,15,0,43.68506,-79.31565,10/15/2017 7:51,15,7,BNYB071,"1946 Danforth Ave, Toronto, ON M4C 1J4",10/15/2017 12:03,15,12,43.6851,-79.3157,10/15/2017 12:03,15,12
32,BNYB071,"1946 Danforth Ave, Toronto, ON M4C 1J4",10/15/2017 12:03,15,12,43.6851,-79.3157,10/15/2017 12:03,15,12,BNYB071,"108 E Lynn Ave, Toronto, ON M4C 3X2",10/15/2017 12:08,15,12,43.68503,-79.31524,10/15/2017 12:08,15,12
33,BNYB072,Green P-10 Portland St(No Double Parking),10/15/2017 0:01,15,0,43.64164,-79.39916,10/15/2017 4:49,15,4,BNYB072,"476 Annette St, Toronto, ON M6P 1S2",10/15/2017 5:25,15,5,43.66045,-79.47846,10/15/2017 7:00,15,7
34,BNYB072,"476 Annette St, Toronto, ON M6P 1S2",10/15/2017 5:25,15,5,43.66045,-79.47846,10/15/2017 7:00,15,7,BNYB072,Green P-363 Adelaide St W(no double parking),10/15/2017 7:26,15,7,43.6466,-79.39477,10/15/2017 11:58,15,11
35,BNYB072,Green P-363 Adelaide St W(no double parking),10/15/2017 7:26,15,7,43.6466,-79.39477,10/15/2017 11:58,15,11,BNYB072,"418 Spadina Rd, Toronto, ON M5P 2W4",10/15/2017 8:42,15,8,43.68891,-79.41286,10/15/2017 11:17,15,11
36,BNYB072,"418 Spadina Rd, Toronto, ON M5P 2W4",10/15/2017 8:42,15,8,43.68891,-79.41286,10/15/2017 11:17,15,11,BNYB072,The Garrison-169 Fort York BLVD (1 car/space only),10/15/2017 12:23,15,12,43.63779,-79.40155,10/15/2017 16:30,15,16
37,BNYB072,The Garrison-169 Fort York BLVD (1 car/space only),10/15/2017 12:23,15,12,43.63779,-79.40155,10/15/2017 16:30,15,16,BNYB072,"55 Winners Cir, Toronto, ON M4L 3Y7",10/15/2017 17:34,15,17,43.66568,-79.30948,10/15/2017 18:30,15,18
38,BNYB074,Green P-800 Fleet St(No Double Parking),10/15/2017 0:01,15,0,43.63691,-79.40972,10/15/2017 11:27,15,11,BNYB074,GreenP-1155 King st W(no double parking),10/15/2017 11:58,15,11,43.63778,-79.42401,10/15/2017 12:03,15,12
39,BNYB074,GreenP-1155 King st W(no double parking),10/15/2017 11:58,15,11,43.63778,-79.42401,10/15/2017 12:03,15,12,BNYB074,"69 Lynn Williams St, Toronto, ON M6K 3R7",10/15/2017 13:19,15,13,43.63912,-79.41449,10/15/2017 13:59,15,13
40,BNYB074,"69 Lynn Williams St, Toronto, ON M6K 3R7",10/15/2017 13:19,15,13,43.63912,-79.41449,10/15/2017 13:59,15,13,BNYB074,"43A Tecumseth St, Toronto, ON M5V 2R8",10/15/2017 14:44,15,14,43.64245,-79.40485,10/15/2017 14:44,15,14
41,BNYB074,"43A Tecumseth St, Toronto, ON M5V 2R8",10/15/2017 14:44,15,14,43.64245,-79.40485,10/15/2017 14:44,15,14,BNYB074,TargetPark-249 Queens Quay W(Radisson Garage),10/15/2017 15:04,15,15,43.63859,-79.38548,10/15/2017 15:14,15,15
42,BNYB074,TargetPark-249 Queens Quay W(Radisson Garage),10/15/2017 15:04,15,15,43.63859,-79.38548,10/15/2017 15:14,15,15,BNYB074,"Impark-65 Navy Wharf(underground garage, 5 spaces)",10/15/2017 15:25,15,15,43.64111,-79.39161,10/15/2017 15:55,15,15
43,BNYB077,"1204 Queen St W, Toronto, ON M6J 1J6",10/15/2017 0:42,15,0,43.64294,-79.42687,10/15/2017 10:57,15,10,BNYB077,"87 Hounslow Heath Rd, Toronto, ON M6N 1G7",10/15/2017 11:37,15,11,43.67354,-79.45977,10/15/2017 15:04,15,15
44,BNYB077,"87 Hounslow Heath Rd, Toronto, ON M6N 1G7",10/15/2017 11:37,15,11,43.67354,-79.45977,10/15/2017 15:04,15,15,BNYB077,"66 Gladstone Ave, Toronto, ON M6J 3K8",10/15/2017 16:05,15,16,43.6445,-79.42795,10/15/2017 16:25,15,16
45,BNYB077,"66 Gladstone Ave, Toronto, ON M6J 3K8",10/15/2017 16:05,15,16,43.6445,-79.42795,10/15/2017 16:25,15,16,BNYB077,"2828A Dundas St W, Toronto, ON M6P 1Y7",10/15/2017 16:57,15,16,43.66542,-79.46369,10/15/2017 17:09,15,17
46,BNYB080,Unit Park-73 The Esplanade(surface lot),10/15/2017 0:01,15,0,43.64703,-79.3733,10/15/2017 1:12,15,1,BNYB080,Green P-25 Dundas St E(no double parking),10/15/2017 1:22,15,1,43.656,-79.37993,10/15/2017 12:08,15,12
47,BNYB080,Green P-25 Dundas St E(no double parking),10/15/2017 1:22,15,1,43.656,-79.37993,10/15/2017 12:08,15,12,BNYB080,TargetPark-249 Queens Quay W(Radisson Garage),10/15/2017 15:30,15,15,43.63859,-79.38548,10/15/2017 17:29,15,17
48,BNYB081,"90 Boston Ave, Toronto, ON M4M 2T9",10/15/2017 10:52,15,10,43.66476,-79.34015,10/15/2017 12:18,15,12,BNYB081,"1290-1292 Dundas St E, Toronto, ON M4M 1S6",10/15/2017 13:44,15,13,43.66554,-79.33863,10/15/2017 13:49,15,13
49,BNYB081,"1290-1292 Dundas St E, Toronto, ON M4M 1S6",10/15/2017 13:44,15,13,43.66554,-79.33863,10/15/2017 13:49,15,13,BNYB081,"226 A George St, Toronto, ON M5A 2N1",10/15/2017 14:09,15,14,43.65591,-79.37291,10/15/2017 14:24,15,14
50,BNYB081,"226 A George St, Toronto, ON M5A 2N1",10/15/2017 14:09,15,14,43.65591,-79.37291,10/15/2017 14:24,15,14,BNYB081,"1097-1098 Logan Ave, Toronto, ON M4K",10/15/2017 14:54,15,14,43.68628,-79.35251,10/15/2017 18:30,15,18
51,BNYB082,"Impark-22 Fort York(garage under sobeys, 5 spaces)",10/15/2017 10:57,15,10,43.64066,-79.39461,10/15/2017 17:14,15,17,BNYB082,"79 Scollard St, Toronto, ON M5R 1G4",10/15/2017 12:39,15,12,43.67138,-79.39118,10/15/2017 15:25,15,15
52,BNYB082,"79 Scollard St, Toronto, ON M5R 1G4",10/15/2017 12:39,15,12,43.67138,-79.39118,10/15/2017 15:25,15,15,BNYB082,"4 John St, Toronto, ON M5V",10/15/2017 15:45,15,15,43.64435,-79.38884,10/15/2017 16:25,15,16
53,BNYB083,"200 Galley Ave, Toronto, ON M6R",10/15/2017 0:01,15,0,43.64265,-79.44871,10/15/2017 11:37,15,11,BNYB083,"152 Borden St, Toronto, ON M5S 2N3",10/15/2017 12:49,15,12,43.66083,-79.40675,10/15/2017 13:19,15,13
54,BNYB083,"152 Borden St, Toronto, ON M5S 2N3",10/15/2017 12:49,15,12,43.66083,-79.40675,10/15/2017 13:19,15,13,BNYB083,"41-43 Shanly St, Toronto, ON M6H",10/15/2017 13:44,15,13,43.66407,-79.4316,10/15/2017 13:54,15,13
55,BNYB085,Green P-323 Richmond St E(no double parking),10/15/2017 11:37,15,11,43.65315,-79.36866,10/15/2017 13:09,15,13,BNYB085,CVPA-134 Sterling Rd (on street only),10/15/2017 14:09,15,14,43.65438,-79.44479,10/15/2017 15:35,15,15
56,BNYB085,CVPA-134 Sterling Rd (on street only),10/15/2017 14:09,15,14,43.65438,-79.44479,10/15/2017 15:35,15,15,BNYB085,"256 Margueretta St, Toronto, ON M6H 3S3",10/15/2017 15:45,15,15,43.65649,-79.43946,10/15/2017 17:54,15,17
57,BNYB085,"256 Margueretta St, Toronto, ON M6H 3S3",10/15/2017 15:45,15,15,43.65649,-79.43946,10/15/2017 17:54,15,17,BNYB085,"100 Close Ave, Toronto, ON M6K 2V3",10/15/2017 18:30,15,18,43.63611,-79.43425,10/15/2017 18:30,15,18
58,BNYB088,"1695 Queen St E, Toronto, ON M4L",10/15/2017 0:01,15,0,43.66739,-79.31153,10/15/2017 1:32,15,1,BNYB088,Where I Park-480 Adelaide St W(3 rsvd spaces),10/15/2017 2:12,15,2,43.64599,-79.39985,10/15/2017 2:52,15,2
59,BNYB088,Where I Park-480 Adelaide St W(3 rsvd spaces),10/15/2017 2:12,15,2,43.64599,-79.39985,10/15/2017 2:52,15,2,BNYB088,"150 Mutual St, Toronto, ON M5B 2M7",10/15/2017 3:18,15,3,43.65891,-79.37656,10/15/2017 9:47,15,9
60,BNYB088,"150 Mutual St, Toronto, ON M5B 2M7",10/15/2017 3:18,15,3,43.65891,-79.37656,10/15/2017 9:47,15,9,BNYB088,"36 Woodfield Rd, Toronto, ON M4L 2W3",10/15/2017 10:27,15,10,43.66467,-79.32109,10/15/2017 11:07,15,11
61,BNYB088,"36 Woodfield Rd, Toronto, ON M4L 2W3",10/15/2017 10:27,15,10,43.66467,-79.32109,10/15/2017 11:07,15,11,BNYB088,Impark-47 Richmond St E (dedicated spaces only),10/15/2017 11:53,15,11,43.65218,-79.37617,10/15/2017 13:44,15,13
62,BNYB088,Impark-47 Richmond St E (dedicated spaces only),10/15/2017 11:53,15,11,43.65218,-79.37617,10/15/2017 13:44,15,13,BNYB088,"367 Sorauren Ave, Toronto, ON M6R 2G5",10/15/2017 18:25,15,18,43.6498,-79.44477,10/15/2017 18:30,15,18
63,BNYB092,"1909 Danforth Ave, Toronto, ON M4C 1J4",10/15/2017 0:01,15,0,43.68488,-79.31648,10/15/2017 8:31,15,8,BNYB092,"112 W Lynn Ave, Toronto, ON M4C 3W2",10/15/2017 8:36,15,8,43.6847,-79.31624,10/15/2017 15:14,15,15
64,BNYB092,"112 W Lynn Ave, Toronto, ON M4C 3W2",10/15/2017 8:36,15,8,43.6847,-79.31624,10/15/2017 15:14,15,15,BNYB092,Green P-800 Fleet St(No Double Parking),10/15/2017 16:15,15,16,43.63691,-79.40972,10/15/2017 18:30,15,18
65,BNYB096,"Bagpipe Lane, Toronto, ON M5S 1Y4",10/15/2017 0:01,15,0,43.66518,-79.40886,10/15/2017 11:02,15,11,BNYB096,Where I Park-480 Adelaide St W(3 rsvd spaces),10/15/2017 11:53,15,11,43.64599,-79.39985,10/15/2017 16:40,15,16
66,BNYB096,Where I Park-480 Adelaide St W(3 rsvd spaces),10/15/2017 11:53,15,11,43.64599,-79.39985,10/15/2017 16:40,15,16,BNYB096,"58 Gates Ave, Toronto, ON M4C 1S9",10/15/2017 17:29,15,17,43.68877,-79.30636,10/15/2017 18:30,15,18
67,BNYB104,Where I Park-480 Adelaide St W(3 rsvd spaces),10/15/2017 10:57,15,10,43.64599,-79.39985,10/15/2017 14:09,15,14,BNYB104,Green P-37 Yorkville Ave (garage),10/15/2017 14:34,15,14,43.67129,-79.38933,10/15/2017 18:20,15,18
68,BNYB106,"71 Delaware Ave, Toronto, ON M6H 2S9",10/15/2017 0:01,15,0,43.65683,-79.42631,10/15/2017 7:31,15,7,BNYB106,"48 Pelham Ave, Toronto, ON M6N 1A6",10/15/2017 7:46,15,7,43.66794,-79.45666,10/15/2017 12:39,15,12
69,BNYB106,"48 Pelham Ave, Toronto, ON M6N 1A6",10/15/2017 7:46,15,7,43.66794,-79.45666,10/15/2017 12:39,15,12,BNYB106,"203 Laughton Ave, Toronto, ON M6N 2X7",10/15/2017 13:14,15,13,43.6735,-79.45709,10/15/2017 15:09,15,15
70,BNYB106,"203 Laughton Ave, Toronto, ON M6N 2X7",10/15/2017 13:14,15,13,43.6735,-79.45709,10/15/2017 15:09,15,15,BNYB106,"23 Earnbridge St, Toronto, ON M6K 1N2",10/15/2017 15:30,15,15,43.64321,-79.43275,10/15/2017 16:57,15,16
71,BNYB106,"23 Earnbridge St, Toronto, ON M6K 1N2",10/15/2017 15:30,15,15,43.64321,-79.43275,10/15/2017 16:57,15,16,BNYB106,"49 Givins St, Toronto, ON M6J 2X8",10/15/2017 17:29,15,17,43.64655,-79.41821,10/15/2017 18:30,15,18
72,BNYB108,"Impark-65 Navy Wharf(underground garage, 5 spaces)",10/15/2017 0:01,15,0,43.64111,-79.39161,10/15/2017 1:02,15,1,BNYB108,"14-16 Lansdowne Ave, Toronto, ON M6K 2V8",10/15/2017 1:17,15,1,43.64134,-79.43702,10/15/2017 9:52,15,9
73,BNYB108,"14-16 Lansdowne Ave, Toronto, ON M6K 2V8",10/15/2017 1:17,15,1,43.64134,-79.43702,10/15/2017 9:52,15,9,BNYB108,Green P-20 St. Andrew St(no double parking),10/15/2017 10:12,15,10,43.6543,-79.40008,10/15/2017 15:04,15,15
74,BNYB108,Green P-20 St. Andrew St(no double parking),10/15/2017 10:12,15,10,43.6543,-79.40008,10/15/2017 15:04,15,15,BNYB108,"60 Pirandello St, Toronto, ON M6K 3S1",10/15/2017 15:30,15,15,43.6395,-79.4143,10/15/2017 18:30,15,18
75,BNYB112,"1561 Dundas St E, Toronto, ON M4L 1K9",10/15/2017 0:01,15,0,43.667,-79.33012,10/15/2017 11:02,15,11,BNYB112,"113 Sarah Ashbridge Ave, Toronto, ON M4L 3Y1",10/15/2017 11:17,15,11,43.66762,-79.3089,10/15/2017 13:14,15,13
76,BNYB112,"113 Sarah Ashbridge Ave, Toronto, ON M4L 3Y1",10/15/2017 11:17,15,11,43.66762,-79.3089,10/15/2017 13:14,15,13,BNYB112,"Penny Ln, Toronto, ON M4L 1S4",10/15/2017 14:19,15,14,43.66753,-79.31287,10/15/2017 14:44,15,14
77,BNYB112,"Penny Ln, Toronto, ON M4L 1S4",10/15/2017 14:19,15,14,43.66753,-79.31287,10/15/2017 14:44,15,14,BNYB112,GreenP-1155 King st W(no double parking),10/15/2017 15:19,15,15,43.63778,-79.42401,10/15/2017 16:00,15,16
78,BNYB112,GreenP-1155 King st W(no double parking),10/15/2017 15:19,15,15,43.63778,-79.42401,10/15/2017 16:00,15,16,BNYB112,"1 Peveril Hill N, York, ON M6C 3A9",10/15/2017 17:24,15,17,43.69895,-79.4259,10/15/2017 18:30,15,18
79,BNYB113,"70 Dunfield Ave, Toronto, ON M4S 3A4",10/15/2017 0:01,15,0,43.70688,-79.39531,10/15/2017 8:26,15,8,BNYB113,"2 Redpath Ave, Toronto, ON M4S",10/15/2017 9:12,15,9,43.70412,-79.39134,10/15/2017 9:37,15,9
80,BNYB113,"2 Redpath Ave, Toronto, ON M4S",10/15/2017 9:12,15,9,43.70412,-79.39134,10/15/2017 9:37,15,9,BNYB113,"338 Forman Ave, Toronto, ON M4S 2S7",10/15/2017 17:39,15,17,43.70869,-79.38603,10/15/2017 18:30,15,18
81,BNYB114,TargetPark-88 Isabella St (no double parking),10/15/2017 0:01,15,0,43.66878,-79.38136,10/15/2017 1:17,15,1,BNYB114,"9 Britannia Ave, Toronto, ON M6N 3T6",10/15/2017 1:52,15,1,43.66979,-79.4808,10/15/2017 11:53,15,11
82,BNYB114,"9 Britannia Ave, Toronto, ON M6N 3T6",10/15/2017 1:52,15,1,43.66979,-79.4808,10/15/2017 11:53,15,11,BNYB114,"1199A St Clair Ave W, Toronto, ON M6E 1B5",10/15/2017 12:44,15,12,43.67762,-79.44422,10/15/2017 18:30,15,18
83,BNYB116,Green P-37 Yorkville Ave (garage),10/15/2017 13:54,15,13,43.67129,-79.38933,10/15/2017 15:25,15,15,BNYB116,"16-20 Hayden St, Toronto, ON M4Y 1V8",10/15/2017 16:15,15,16,43.66962,-79.3857,10/15/2017 16:15,15,16
84,BNYB116,"16-20 Hayden St, Toronto, ON M4Y 1V8",10/15/2017 16:15,15,16,43.66962,-79.3857,10/15/2017 16:15,15,16,BNYB116,"65 Charles St E, Toronto, ON M4Y",10/15/2017 16:20,15,16,43.66907,-79.38265,10/15/2017 18:00,15,18
85,BNYB118,"315-321 Albany Ave, Toronto, ON M5R 3E2",10/15/2017 5:19,15,5,43.67475,-79.41393,10/15/2017 13:29,15,13,BNYB118,Unit Park-73 The Esplanade(surface lot),10/15/2017 13:59,15,13,43.64703,-79.3733,10/15/2017 13:59,15,13
86,BNYB118,Unit Park-73 The Esplanade(surface lot),10/15/2017 13:59,15,13,43.64703,-79.3733,10/15/2017 13:59,15,13,BNYB118,"95 Stanley Terrace, Toronto, ON M6J 3V8",10/15/2017 14:34,15,14,43.64446,-79.41081,10/15/2017 14:39,15,14
87,BNYB122,"126 Eastern Ave, Toronto, ON M4M 3G8",10/15/2017 0:01,15,0,43.65714,-79.3497,10/15/2017 10:42,15,10,BNYB122,"442 Quebec Ave, Toronto, ON M6P 2V4",10/15/2017 11:27,15,11,43.66466,-79.47176,10/15/2017 13:04,15,13
88,BNYB152,Unit Park-73 The Esplanade(surface lot),10/15/2017 0:01,15,0,43.64703,-79.3733,10/15/2017 0:01,15,0,BNYB152,"215 Glenlake Ave, Toronto, ON M6P",10/15/2017 0:22,15,0,43.65799,-79.46325,10/15/2017 2:42,15,2
89,BNYB152,"215 Glenlake Ave, Toronto, ON M6P",10/15/2017 0:22,15,0,43.65799,-79.46325,10/15/2017 2:42,15,2,BNYB152,"66 Oakmount Rd, Toronto, ON M6P 2M4",10/15/2017 3:33,15,3,43.65626,-79.4632,10/15/2017 16:30,15,16
90,BNYB152,"66 Oakmount Rd, Toronto, ON M6P 2M4",10/15/2017 3:33,15,3,43.65626,-79.4632,10/15/2017 16:30,15,16,BNYB152,"255 Glenlake Ave, Toronto, ON M6P",10/15/2017 18:20,15,18,43.65776,-79.46416,10/15/2017 18:30,15,18
91,BNYB155,"7 Rossmore Rd, Toronto, ON M6G 2M6",10/15/2017 0:01,15,0,43.67069,-79.41467,10/15/2017 10:37,15,10,BNYB155,"247 Albany Ave, Toronto, ON M5R 3C7",10/15/2017 13:04,15,13,43.6726,-79.41308,10/15/2017 14:49,15,14
92,BNYB155,"247 Albany Ave, Toronto, ON M5R 3C7",10/15/2017 13:04,15,13,43.6726,-79.41308,10/15/2017 14:49,15,14,BNYB155,"50 Lynn Williams St, Toronto, ON M6K 3R7",10/15/2017 15:30,15,15,43.63914,-79.41487,10/15/2017 18:30,15,18
93,BNYB159,"1625-1661 Danforth Ave, Toronto, ON M4C 1H7",10/15/2017 0:01,15,0,43.68359,-79.32217,10/15/2017 8:47,15,8,BNYB159,"125 Drayton Ave, Toronto, ON M4C 3L8",10/15/2017 8:57,15,8,43.68228,-79.31941,10/15/2017 17:54,15,17
94,BNYB159,"125 Drayton Ave, Toronto, ON M4C 3L8",10/15/2017 8:57,15,8,43.68228,-79.31941,10/15/2017 17:54,15,17,BNYB159,"1769A Danforth Ave, Toronto, ON M4C 1J1",10/15/2017 18:00,15,18,43.68413,-79.31958,10/15/2017 18:30,15,18
95,BNYB160,"82 Roncesvalles Ave, Toronto, ON M6R 2K7",10/15/2017 0:01,15,0,43.64167,-79.44735,10/15/2017 8:31,15,8,BNYB160,"179 Pearson Ave, Toronto, ON M6R 1G4",10/15/2017 8:36,15,8,43.64206,-79.44644,10/15/2017 14:09,15,14
96,BNYB160,"179 Pearson Ave, Toronto, ON M6R 1G4",10/15/2017 8:36,15,8,43.64206,-79.44644,10/15/2017 14:09,15,14,BNYB160,"96 Geoffrey St, Toronto, ON M6R 1P3",10/15/2017 16:20,15,16,43.64846,-79.44794,10/15/2017 16:35,15,16
