TTS Zone,Pop,AgeAvg,IncMed,PropDet,PropHigh,PropLow
117,2955,39.1,67008,0.097770899,1.108070184,1.124365334
118,3125,37.8,69266,0.244427247,0,2.15095977
119,9525,38.86612873,77200.00551,0.293312696,6.998766827,1.246578958
120,6115,40.93750094,87868.53038,1.531744079,1.018446861,2.012450997
121,335.8631714,49.8,86699,0,0.186079983,0
122,8745,42.2,86435,1.548039228,4.456723462,1.05103716
124,5525,38.5,124928,1.873942224,0,1.474711054
125,6050,43.9,106848,1.41767803,1.108070184,1.588777103
126,4510,38.5,83895,0.708839015,0.065180599,2.15095977
127,4545,39,101939,1.425825605,0,1.45026833
129,4460,40.7,68882,1.409530455,0,1.336202281
146,2046.163985,38.9,75648,0.0839084,0,1.099641669
147,6015,39.1,46860,0.211836947,0.814757489,3.014602708
162,3115,39.7,70195,0.806609914,0,1.059184735
163,6840,40.2,64400,1.930975248,0.268869971,1.930975248
164,7800,41.03736232,73418.85001,1.108070184,0,3.682703848
165,6335,39.94655541,70307.22305,0.912528387,0,3.23458723
166,5500,38.4,78240,0.423673894,0,3.169406631
167,4375,44.9,67029,0.219984522,0.162951498,2.232435519
168,1454.871142,44,71936,0.186893742,0.296981837,0.501796896
169,3175.128858,44,71936,0.407879225,0.64813685,1.095127781
170,5350,44,59349,0.68439629,1.002151711,2.16725492
171,4355,41.1,64683,0.977708986,0,1.890237373
172,6255,40.5,64736,1.271021682,0.741429315,2.093926746
173,12065,40.5377495,58220.88757,1.670252852,4.000459269,4.513756487
174,4180,39.4,94976,1.344349856,0.472559343,0.839200213
175,5475,42.5,46848,1.08362746,1.189545933,1.735433451
176,5120,42.8,60058,1.222136233,0.554035092,1.409530455
185,5310,43.2,103936,1.376940156,1.482858629,0.977708986
186,4125,47.4,100059,0.513297218,1.710990726,1.018446861
187,2210,41.2,93184,0.195541797,0.497002068,1.108070184
188,4630,45.8,86016,0.71698659,2.159107345,0.888085663
189,3052.193509,40.8,181419,1.180175093,0.105372776,0.512814177
190,487.8064915,40.8,181419,0.188617488,0.016840847,0.081958789
201,5503.918636,39,93760,1.251268262,0.800500813,2.012909812
202,8485,45.39786219,83570.2474,0.545887517,5.312218825,2.13466462
203,4040,47.00634116,117167.9215,0.301460271,1.719138301,1.409530455
204,5415,48.8,76660,0.187394222,4.147115617,1.010299286
205,5150,49.6,129344,0.961413837,1.156955634,1.922827673
206,2660,40.1,274286,1.124365334,0,0.374788445
207,4445,39.7,247040,1.719138301,0,0.790314764
208,2463.096485,39.1,127403,0.538301645,0.141658328,0.920779129
209,9845,46.02003396,79385.43402,0.146656348,8.473477881,0.757724464
210,8971.081364,42.41876429,73683.53773,0.687854561,5.970133917,1.303153166
216,7236.903515,38.98982181,118706.0844,1.710429024,0.868640958,2.224184777
217,7950,41.03515709,127522.8683,2.802765761,0.36664087,1.947270398
249,19360,40.32441013,53841.05945,2.183550069,8.440887582,1.939122823
250,14415,40.41834356,65476.71693,3.804917472,3.650113549,2.664256988
251,8040,38.9742667,62698.24262,0.814757489,2.045041296,2.737585162
252,7330,38.9,101803,1.091775035,0.545887517,3.063488157
253,7090,39.77764505,125496.3192,2.159107345,0.114066048,2.265025818
254,5200,42.7,77152,0.635510841,0,3.698998998
255,6890,38.9,95772,1.059184735,0.35034572,3.413833877
256,6015,41.2,66816,0.977708986,0.806609914,2.86794636
257,8125,38.36656071,79497.50286,0.994004136,0.236279672,4.513756487
258,7265,39.7325711,78807.11507,0.741429315,0.888085663,3.275325104
259,7550,41.77146235,93924.61466,2.990159983,0.097770899,1.759876175
262,3445,41.9,89549,1.686548001,0,0.505149643
263,6545,40.45565183,92891.71923,1.833204349,0,2.281320968
264,6850,40.23027795,81447.35723,0.619215691,0.439969044,3.470866901
265,3850,37.7,64384,0.472559343,0.146656348,1.988008272
266,6485,37.8,74170,0.912528387,0.252574821,3.226439655
267,3255,41.9,60032,0.089623324,0.162951498,1.971713122
268,2460,37.6,89856,0.073328174,0.692543865,1.262874107
269,6995,39.57680181,71526.58084,0.537739942,0.073328174,3.837507771
270,7585,39.18994426,87848.26943,0.391083595,2.191697644,3.153111481
271,6990,39.4,69120,0.293312696,0.423673894,4.114525317
272,4920,39.5,105472,0.480706918,0,2.599076389
273,4590,37.5,53453,0.325902995,0.765872039,1.939122823
274,3140,39.2,84941,0.480706918,0,1.572481953
275,1579.004557,42.4,61120,0.15247476,0.209652795,0.797315932
276,2470.995443,42.4,61120,0.238608835,0.328087148,1.247725364
277,3480,40,97536,0.554035092,0,1.727285876
278,3510,42.7,70571,0.293312696,1.140660484,1.344349856
279,3995,41.5,63616,0.480706918,1.409530455,1.507301354
280,3810,41,95744,0.545887517,0.097770899,1.80061405
281,8880,41.72141585,58144.17091,1.833204349,2.183550069,2.427977316
282,11500,42.95714812,55779.02453,1.385087731,5.418137299,2.436124891
283,1633.625733,40.4,138069,0.661370832,0.055114236,0.297616874
284,781.3742674,40.4,138069,0.316338154,0.026361513,0.142352169

